,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ
0,"A. Davis NO - PF,C ",You Reach I Teach,12,2,1,100%,37:34,11.3/22.0,.515,8.8/10.6,.827,1.0,32.4,15.0,3.6,1.8,2.2,1.4,INJ
1,"J. Harden Hou - PG,SG ",Green Machine,14,1,2,100%,38:47,12.3/28.5,.431,12.5/14.1,.884,6.3,43.4,7.9,8.2,1.9,1.1,6.1,0
2,K. Towns Min - C ,14 is the new 24,14,5,3,100%,33:00,9.2/18.1,.508,5.6/6.6,.839,1.6,25.6,13.6,3.8,1.1,2.1,2.6,0
3,"S. Curry GS - PG,SG ",Taxmaddness,14,4,4,100%,34:38,9.9/20.6,.483,4.9/5.4,.907,5.5,30.2,5.3,6.0,1.0,0.4,2.5,0
4,"J. Embiid Phi - PF,C ",Westbrook 4 Kidd,12,19,5,100%,32:40,9.5/18.2,.523,8.6/10.5,.817,1.5,29.1,13.3,3.7,0.8,2.6,3.8,0
5,"K. Leonard Tor - SG,SF ",Westbrook 4 Kidd,10,13,6,100%,34:42,10.1/19.6,.515,8.0/9.4,.851,1.7,29.9,6.7,3.2,2.3,0.4,1.9,INJ
6,"K. Irving Bos - PG,SG ",evan's Neat Team,13,18,7,100%,33:22,9.6/17.4,.553,3.6/4.2,.855,2.5,25.3,4.4,7.8,1.7,0.5,2.7,0
7,"N. Jokic Den - PF,C ",Sometimes I Dribble,14,8,8,100%,32:04,9.0/16.6,.541,3.5/4.2,.831,1.4,22.9,10.1,8.7,1.1,0.8,3.6,0
8,"G. Antetokounmpo Mil - SF,PF ",WinterHawk,13,3,9,100%,31:18,9.8/17.3,.569,6.6/9.3,.711,0.7,27.0,12.2,5.8,1.6,1.5,3.2,0
9,"K. Durant GS - SF,PF ",evan's Neat Team,14,6,10,100%,35:04,9.0/17.3,.521,5.4/6.6,.826,2.4,25.9,6.7,5.6,0.8,1.4,2.6,0
