,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos
0,"J. Harden Hou - PG,SG ",Green Machine,7,1,1,100%,37:51,14.1/31.0,.456,15.0/16.6,.905,5.6,48.9,9.6,6.4,2.7,1.0,4.9,0," PG,SG "
1,"S. Curry GS - PG,SG ",Taxmaddness,6,4,2,100%,32:00,10.2/19.8,.513,4.5/4.5,1.000,6.3,31.2,5.3,6.0,0.7,0.5,1.7,0," PG,SG "
2,"K. Leonard Tor - SG,SF ",Westbrook 4 Kidd,3,13,3,100%,36:00,11.3/22.0,.515,6.3/7.0,.905,2.3,31.3,8.7,3.7,2.7,0.7,2.0,0," SG,SF "
3,"P. George OKC - SG,SF,PF ",Sometimes I Dribble,7,12,4,100%,38:42,8.3/19.7,.420,7.9/8.7,.902,3.7,28.1,7.4,4.1,3.1,0.1,2.0,0," SG,SF,PF "
4,K. Towns Min - C ,14 is the new 24,6,5,5,100%,31:10,8.7/18.0,.481,5.7/6.3,.895,1.7,24.7,12.8,3.2,1.7,1.7,2.2,0, C 
5,"A. Davis NO - PF,C ",You Reach I Teach,4,2,6,100%,38:00,11.5/24.8,.465,9.0/10.3,.878,1.3,33.3,13.8,3.8,1.0,1.5,1.8,INJ," PF,C "
6,"K. Irving Bos - PG,SG ",evan's Neat Team,6,18,7,100%,35:30,10.7/18.8,.566,4.3/5.3,.813,2.7,28.3,4.7,9.2,2.2,0.8,3.5,0," PG,SG "
7,"K. Durant GS - SF,PF ",evan's Neat Team,6,6,8,100%,33:10,9.0/16.2,.557,4.3/5.2,.839,2.8,25.2,7.2,4.8,1.2,1.7,2.3,0," SF,PF "
8,"D. Russell Bkn - PG,SG ",Stay Out the Paint,6,90,9,91%,31:49,10.7/21.2,.504,1.2/1.5,.778,4.8,27.3,4.5,8.0,1.2,0.3,2.0,0," PG,SG "
9,"E. Bledsoe Mil - PG,SG ",You Reach I Teach,6,38,10,98%,27:19,8.0/15.3,.522,3.2/3.8,.826,1.8,21.0,4.7,5.7,2.0,0.3,0.7,0," PG,SG "
10,"N. Jokic Den - PF,C ",Sometimes I Dribble,7,8,11,100%,30:17,8.7/17.1,.508,4.6/5.3,.865,1.3,23.3,11.1,8.4,0.6,0.7,2.1,0," PF,C "
11,"K. Thompson GS - SG,SF ",Taxmaddness,6,32,12,100%,30:10,9.8/17.7,.557,1.0/1.2,.857,4.7,25.3,3.8,1.7,1.3,0.3,1.2,0," SG,SF "
12,D. Lillard Por - PG ,The Monstars,7,9,13,100%,35:34,9.7/21.0,.463,6.4/6.9,.938,2.4,28.3,4.4,6.7,1.4,0.6,2.7,0, PG 
13,"L. Aldridge SA - PF,C ",You Reach I Teach,7,36,14,100%,35:08,9.9/18.3,.539,5.3/6.0,.881,0.3,25.3,8.6,3.4,0.6,2.1,2.4,0," PF,C "
14,R. Gobert Uta - C ,You Reach I Teach,7,27,15,100%,34:08,5.4/9.4,.576,5.1/7.3,.706,0.0,16.0,17.0,3.6,0.9,2.7,2.1,0, C 
15,"B. Griffin Det - PF,C ",Green Machine,7,48,16,100%,37:51,10.9/21.3,.510,8.0/9.9,.812,3.0,32.7,7.3,5.3,1.3,0.6,3.4,0," PF,C "
16,"J. Butler Phi - SG,SF ",evan's Neat Team,5,22,17,100%,33:48,7.8/15.8,.494,5.4/6.0,.900,1.0,22.0,4.6,4.6,2.0,0.6,1.6,0," SG,SF "
17,"J. Embiid Phi - PF,C ",Westbrook 4 Kidd,6,19,18,100%,32:00,10.2/20.5,.496,7.3/9.5,.772,1.5,29.2,12.5,3.8,0.5,2.5,3.2,0," PF,C "
18,B. Beal Was - SG ,WinterHawk,4,21,19,100%,42:00,10.5/24.5,.429,5.3/6.8,.778,3.0,29.3,6.3,7.5,2.3,1.5,4.0,0, SG 
19,"T. Harris LAC - SF,PF ",Stay Out the Paint,8,33,20,99%,36:00,7.0/14.4,.487,4.0/4.6,.865,2.3,20.3,8.1,4.1,1.1,0.8,1.5,0," SF,PF "
20,J. Nurkic Por - C ,14 is the new 24,7,101,21,92%,29:25,5.6/11.4,.488,2.9/3.9,.741,0.0,14.0,10.7,5.7,0.9,3.3,2.4,0, C 
21,"M. Turner Ind - PF,C ",Sometimes I Dribble,5,42,22,96%,30:36,4.2/9.6,.438,2.2/3.2,.688,1.4,12.0,9.4,0.8,1.4,3.0,0.6,0," PF,C "
22,"T. Young Ind - SF,PF ",Taxmaddness,6,102,23,81%,29:49,6.5/11.5,.565,0.8/0.8,1.000,1.2,15.0,7.7,2.8,1.7,0.5,1.2,0," SF,PF "
23,"D. Mitchell Uta - PG,SG ",The Monstars,7,17,24,100%,34:17,11.0/22.7,.484,6.1/7.9,.782,3.0,31.1,4.6,5.4,1.6,0.9,3.1,0," PG,SG "
24,D. Dedmon Atl - C ,evan's Neat Team,4,97,25,65%,27:30,5.8/10.0,.575,1.8/1.8,1.000,2.5,15.8,6.8,3.3,0.5,0.5,1.3,0, C 
25,B. Lopez Mil - C ,WinterHawk,6,75,26,83%,28:00,4.3/8.0,.542,0.0/0.0,-,2.3,11.0,4.3,1.0,0.0,3.5,0.7,0, C 
26,"N. Vucevic Orl - PF,C ",Stay Out the Paint,7,59,27,97%,33:25,9.4/20.4,.462,2.1/2.7,.789,1.1,22.1,12.3,4.4,0.6,1.3,1.7,0," PF,C "
27,"G. Antetokounmpo Mil - SF,PF ",WinterHawk,5,3,28,100%,29:12,8.6/15.4,.558,7.8/10.6,.736,0.6,25.6,11.0,5.4,1.8,0.6,3.4,0," SF,PF "
28,S. Adams OKC - C ,WinterHawk,7,77,29,94%,36:08,6.3/9.6,.657,2.3/3.3,.696,0.0,14.9,8.9,1.9,1.9,0.9,1.7,0, C 
29,"J. Grant OKC - SF,PF ",Green Machine,7,114,30,76%,36:17,5.7/11.0,.519,3.0/4.0,.750,1.1,15.6,6.3,1.3,0.9,2.3,0.9,0," SF,PF "
30,"C. Capela Hou - PF,C ",The Monstars,2,39,31,97%,33:00,7.5/10.0,.750,3.0/4.5,.667,0.0,18.0,7.0,2.5,0.5,1.0,0.5,INJ," PF,C "
31,"J. Allen Bkn - PF,C ",The Monstars,6,46,32,94%,29:19,4.5/8.8,.509,2.3/3.0,.778,0.0,11.3,13.5,1.5,0.7,2.2,1.5,0," PF,C "
32,M. Conley Mem - PG ,WinterHawk,7,47,33,98%,31:42,6.9/14.0,.490,3.9/4.1,.931,2.0,19.6,2.7,4.7,1.6,0.0,2.0,0, PG 
33,K. Huerter Atl - SG ,FA,4,228,34,31%,37:15,6.8/13.5,.500,1.3/1.5,.833,4.0,18.8,3.0,4.3,1.5,0.3,2.5,0, SG 
34,"D. Collison Ind - PG,SG ",evan's Neat Team,6,68,35,81%,28:19,4.7/10.2,.459,2.8/3.2,.895,1.2,13.3,4.2,7.0,1.8,0.3,1.7,0," PG,SG "
35,"D. Green Tor - SG,SF ",FA,7,157,36,57%,28:08,4.1/9.6,.433,1.3/1.6,.818,3.0,12.6,4.6,1.9,1.3,1.0,0.4,0," SG,SF "
36,"B. Simmons Phi - PG,SF ",Westbrook 4 Kidd,7,14,37,100%,34:00,7.4/12.0,.619,2.9/4.9,.588,0.0,17.7,11.7,10.1,0.9,1.1,3.6,0," PG,SF "
37,"A. Gordon Orl - SF,PF ",Sometimes I Dribble,5,41,38,98%,33:00,6.8/12.4,.548,4.2/4.2,1.000,1.2,19.0,7.6,3.2,0.6,0.4,2.8,0," SF,PF "
38,"T. Ariza Was - SG,SF ",Green Machine,4,104,39,79%,40:00,6.3/13.5,.463,2.8/4.0,.688,3.5,18.8,7.8,6.0,0.8,0.3,1.8,0," SG,SF "
39,"J. Collins Atl - PF,C ",You Reach I Teach,6,45,40,96%,31:00,8.7/13.8,.627,2.8/3.8,.739,1.2,21.3,9.0,2.7,0.5,0.0,1.7,0," PF,C "
40,B. Hield Sac - SG ,You Reach I Teach,7,85,41,90%,31:17,7.7/15.4,.500,1.1/1.1,1.000,3.9,20.4,4.7,1.9,0.4,0.3,1.4,0, SG 
41,M. Robinson NY - C ,FA,3,312,42,14%,14:19,3.7/3.7,1.000,0.7/1.0,.667,0.0,8.0,3.0,0.3,0.7,2.0,0.0,0, C 
42,"M. Belinelli SA - SG,SF ",FA,6,158,43,20%,25:30,5.5/10.5,.524,3.3/3.3,1.000,3.5,17.8,2.3,1.8,0.5,0.3,1.5,0," SG,SF "
43,"O. Porter Jr. Was - SF,PF ",14 is the new 24,4,30,44,95%,33:45,6.8/14.3,.474,2.0/3.0,.667,3.0,18.5,8.0,1.0,1.8,0.3,1.5,0," SF,PF "
44,R. Westbrook OKC - PG ,Westbrook 4 Kidd,7,10,45,100%,37:51,8.6/21.4,.400,6.1/8.3,.741,1.3,24.6,9.7,12.0,1.7,0.1,3.4,0, PG 
45,"P. Tucker Hou - SF,PF ",Green Machine,7,183,46,48%,35:34,2.9/7.1,.400,1.3/1.7,.750,1.1,8.1,6.9,1.4,2.6,0.7,0.9,0," SF,PF "
46,R. O'Neale Uta - SF ,FA,7,263,47,6%,33:51,3.3/6.9,.479,1.1/1.3,.889,1.9,9.6,6.4,2.4,1.6,0.7,1.3,0, SF 
47,D. Ayton Pho - C ,Taxmaddness,4,63,48,96%,29:00,6.5/12.3,.531,2.3/3.5,.643,0.0,15.3,10.0,0.5,1.0,1.8,0.8,INJ, C 
48,"A. Horford Bos - PF,C ",14 is the new 24,7,43,49,96%,28:17,5.4/9.6,.567,1.3/1.3,1.000,0.9,13.0,6.9,2.4,0.7,1.3,2.0,0," PF,C "
49,"D. Green GS - PF,C ",Green Machine,6,31,50,98%,28:40,2.2/5.3,.406,1.3/2.0,.667,0.8,6.5,6.0,9.5,1.3,0.7,1.2,0," PF,C "
50,"J. Holiday NO - PG,SG ",Stay Out the Paint,6,20,51,100%,39:00,10.0/19.8,.504,2.0/3.7,.545,1.2,23.2,5.8,6.8,1.2,0.8,1.7,0," PG,SG "
51,"J. Barea Dal - PG,SG ",FA,1,222,52,3%,22:00,7.0/14.0,.500,1.0/1.0,1.000,1.0,16.0,4.0,7.0,0.0,0.0,0.0,INJ," PG,SG "
52,"J. Randle NO - PF,C ",Taxmaddness,6,72,53,94%,31:10,7.2/13.2,.544,5.7/6.8,.829,0.7,20.7,9.7,3.7,0.7,0.7,3.3,0," PF,C "
53,"N. Mirotic NO - SF,PF ",Taxmaddness,6,67,54,91%,25:30,4.2/10.3,.403,2.5/2.7,.938,3.0,13.8,4.8,1.3,0.3,1.5,0.8,0," SF,PF "
54,P. Siakam Tor - PF ,WinterHawk,7,140,55,85%,33:42,6.0/12.1,.494,3.0/3.6,.840,0.3,15.3,8.9,3.3,1.1,0.7,1.7,0, PF 
