,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos,name,games_this_week
0,"K. Leonard Tor - SG,SF ",Westbrook 4 Kidd,3,13,1,100%,40:00,12.0/22.3,.537,8.7/9.0,.963,2.7,35.3,7.3,4.0,3.0,0.7,3.3,0," SG,SF ","K. Leonard Tor - SG,SF ",2.0
1,"J. Harden Hou - PG,SG ",Green Machine,7,1,2,100%,39:17,13.7/31.1,.440,15.6/17.1,.908,4.7,47.7,8.4,5.7,2.4,0.9,4.9,0," PG,SG ","J. Harden Hou - PG,SG ",3.0
2,"S. Curry GS - PG,SG ",Taxmaddness,7,4,3,100%,34:00,10.3/20.3,.507,5.1/5.1,1.000,5.9,31.6,4.9,4.9,0.6,0.6,1.4,0," PG,SG ","S. Curry GS - PG,SG ",3.0
3,"A. Davis NO - PF,C ",You Reach I Teach,3,2,4,100%,38:40,12.0/25.7,.468,9.3/10.7,.875,1.0,34.3,13.7,4.3,1.3,1.7,1.3,INJ," PF,C ","A. Davis NO - PF,C ",3.0
4,"P. George OKC - SG,SF,PF ",Sometimes I Dribble,6,12,5,100%,38:00,8.3/19.0,.439,7.5/8.5,.882,4.5,28.7,7.3,5.2,3.0,0.3,2.0,0," SG,SF,PF ","P. George OKC - SG,SF,PF ",3.0
5,"K. Irving Bos - PG,SG ",evan's Neat Team,5,18,6,100%,37:00,11.8/21.0,.562,3.8/4.6,.826,3.6,31.0,4.8,10.8,2.4,0.6,4.2,0," PG,SG ","K. Irving Bos - PG,SG ",4.0
6,R. Rondo LAL - PG ,FA,1,184,7,67%,37:00,6.0/11.0,.545,0.0/0.0,-,3.0,15.0,6.0,13.0,1.0,2.0,2.0,0, PG ,R. Rondo LAL - PG ,3.0
7,K. Towns Min - C ,14 is the new 24,6,5,8,100%,30:00,8.7/16.8,.515,6.0/6.3,.947,1.8,25.2,10.2,3.8,1.7,1.2,2.5,0, C ,K. Towns Min - C ,2.0
8,R. Gobert Uta - C ,You Reach I Teach,6,27,9,100%,33:49,6.2/10.3,.597,4.8/6.3,.763,0.0,17.2,16.8,2.8,0.8,3.2,1.5,0, C ,R. Gobert Uta - C ,3.0
9,"N. Jokic Den - PF,C ",Sometimes I Dribble,6,8,10,100%,30:40,9.5/18.0,.528,5.0/5.7,.882,1.7,25.7,12.0,9.2,0.8,0.3,2.2,0," PF,C ","N. Jokic Den - PF,C ",4.0
10,T. Burke NY - PG ,FA,1,155,11,20%,33:00,10.0/19.0,.526,3.0/3.0,1.000,2.0,25.0,0.0,5.0,2.0,1.0,1.0,0, PG ,T. Burke NY - PG ,4.0
11,"K. Durant GS - SF,PF ",evan's Neat Team,7,6,12,100%,35:17,9.4/18.1,.520,4.9/5.7,.850,2.4,26.1,7.1,4.6,1.1,2.0,3.0,0," SF,PF ","K. Durant GS - SF,PF ",3.0
12,"J. Butler Phi - SG,SF ",evan's Neat Team,4,22,13,100%,32:15,7.5/15.0,.500,3.8/4.0,.938,1.3,20.0,4.8,4.5,1.8,0.8,1.0,INJ," SG,SF ","J. Butler Phi - SG,SF ",3.0
13,"E. Bledsoe Mil - PG,SG ",You Reach I Teach,6,38,14,98%,27:49,8.0/14.5,.552,3.5/4.0,.875,1.5,21.0,4.0,4.7,1.7,0.5,0.8,0," PG,SG ","E. Bledsoe Mil - PG,SG ",3.0
14,"J. Embiid Phi - PF,C ",Westbrook 4 Kidd,6,19,15,100%,32:00,10.2/20.5,.496,7.3/9.5,.772,1.5,29.2,12.5,3.8,0.5,2.5,3.2,0," PF,C ","J. Embiid Phi - PF,C ",3.0
15,"G. Antetokounmpo Mil - SF,PF ",WinterHawk,6,3,16,100%,30:40,9.5/16.3,.582,7.5/10.2,.738,0.5,27.0,11.5,5.0,2.0,1.0,3.2,0," SF,PF ","G. Antetokounmpo Mil - SF,PF ",3.0
16,"T. Harris LAC - SF,PF ",Stay Out the Paint,7,33,17,99%,36:51,7.9/15.1,.519,4.7/5.4,.868,2.7,23.1,7.4,4.3,1.0,0.6,2.0,0," SF,PF ","T. Harris LAC - SF,PF ",4.0
17,"N. Vucevic Orl - PF,C ",Stay Out the Paint,7,59,18,97%,33:34,10.1/20.3,.500,2.3/2.9,.800,1.3,23.9,11.7,3.9,0.7,1.3,1.6,0," PF,C ","N. Vucevic Orl - PF,C ",3.0
18,"D. Russell Bkn - PG,SG ",Stay Out the Paint,6,90,19,91%,31:19,9.8/19.8,.496,0.8/1.2,.714,4.8,25.3,4.0,7.2,1.0,0.3,2.3,0," PG,SG ","D. Russell Bkn - PG,SG ",4.0
19,D. Lillard Por - PG ,The Monstars,7,9,20,100%,35:42,9.6/21.0,.456,7.4/7.9,.945,2.3,28.9,4.3,6.4,1.3,0.3,2.7,0, PG ,D. Lillard Por - PG ,1.0
20,T. Pinson Bkn - SF ,FA,1,462,21,2%,26:00,5.0/11.0,.455,6.0/6.0,1.000,3.0,19.0,8.0,2.0,2.0,0.0,3.0,0, SF ,3,3.0
21,D. Dedmon Atl - C ,evan's Neat Team,4,97,22,68%,25:00,5.0/9.3,.541,1.8/1.8,1.000,2.0,13.8,5.5,1.5,1.3,1.3,1.0,0, C ,D. Dedmon Atl - C ,4.0
22,B. Hield Sac - SG ,You Reach I Teach,6,85,23,90%,32:40,7.8/15.3,.511,1.7/1.8,.909,4.3,21.7,5.7,2.0,0.5,0.3,1.2,0, SG ,B. Hield Sac - SG ,2.0
23,"M. Turner Ind - PF,C ",Sometimes I Dribble,6,42,24,97%,30:10,4.3/9.7,.448,2.0/3.0,.667,1.7,12.3,8.3,1.2,1.3,2.8,0.7,0," PF,C ","M. Turner Ind - PF,C ",4.0
24,"A. Horford Bos - PF,C ",14 is the new 24,6,43,25,96%,30:00,7.0/10.7,.656,1.5/1.5,1.000,1.3,16.8,7.7,2.2,0.3,1.5,2.5,0," PF,C ","A. Horford Bos - PF,C ",4.0
25,"L. Aldridge SA - PF,C ",You Reach I Teach,6,36,26,100%,32:10,8.8/16.8,.525,4.0/4.8,.828,0.3,22.0,9.0,3.2,0.5,1.8,2.2,0," PF,C ","L. Aldridge SA - PF,C ",3.0
